file,compare,region,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
./adapt_box/17302/17302_00048.swc,manual,LGd-co,6550,12.5664,6,47,98,52,761.791,1020.26,274.864,1.99969,12901.3,81061.4,40530.7,576.226,969.39,8,0.911992,65.8265,1,67.4389,57.8205,1.16057
./adapt_box/17302/17302_00048.swc,recons,LGd-co,421,1809.56,3,24,50,27,778.939,1022,278,2.55677,7677.87,56212.1,51992,589.773,984.076,9,0.945022,7.4,0.846142,57.5354,62.258,1.19189
./adapt_box/17302/17302_00066.swc,manual,LGd-co,7216,12.5664,10,56,120,65,634.08,878.271,164.61,1.99972,15010.4,94312.9,47156.4,523.349,618.47,7,0.883475,59.125,1,73.0588,65.9442,1.15503
./adapt_box/17302/17302_00066.swc,recons,LGd-co,463,1520.53,5,32,67,36,650,885.16,166,2.54168,8310.67,61389.4,65275.9,532.027,575.208,8,0.918728,5.89552,0.886399,57.9073,61.721,1.27755
./adapt_box/17302/17302_00025.swc,manual,MD,12827,12.5664,4,88,178,91,571.546,1021.54,206.36,1.99984,22421.8,140880,70440.1,551.542,1004.11,16,0.9061,71.0562,1,73.4111,84.8714,1.15744
./adapt_box/17302/17302_00025.swc,recons,MD,543,804.248,3,33,67,35,572,1022,214,2.63241,9841.23,72605.5,70197.9,530.976,646.946,7,0.911936,7.08955,1.04282,54.9941,59.9502,1.32724
./adapt_box/17302/17302_00075.swc,manual,CP,4763,12.5664,8,32,70,39,1021.89,676.809,187.032,1.99958,11867.1,74563,37281.5,623.887,1115.38,6,0.892981,67.0286,1,71.7795,67.1968,1.1621
./adapt_box/17302/17302_00075.swc,recons,CP,657,2827.43,4,35,72,38,1022,697.043,188,3.34186,11804.4,117167,129880,716.606,1078.95,10,0.924591,8.11111,0.916074,45.391,49.6017,1.35996
./adapt_box/17302/17302_00113.swc,manual,VPM,8850,12.5664,8,46,98,53,771.015,1020.23,215.992,1.99977,18837.9,118362,59181,593.629,633.293,7,0.896929,89.2959,1,81.6923,58.906,1.14708
./adapt_box/17302/17302_00113.swc,recons,VPM,804,2463.01,2,45,90,46,777.999,1022,226.48,2.52761,14764,106361,100710,603.171,635.318,10,0.929963,7.92222,0.881602,48.1832,42.9911,1.44076
./adapt_box/17302/17302_00114.swc,manual,VPM,4644,12.5664,8,37,80,44,670.976,946.367,278.064,1.99957,10723.4,67377.1,33688.5,556.537,1056.57,7,0.883087,57.0375,1,75.2191,62.1829,1.12456
./adapt_box/17302/17302_00114.swc,recons,VPM,505,1809.56,4,31,68,38,682.001,970.223,282.9,2.59129,9086.64,68282.6,63033,563.113,1029.96,7,0.911544,6.41176,0.771112,57.9342,56.8971,1.32236
./adapt_box/17302/17302_00112.swc,manual,VPM,5808,12.5664,9,37,81,45,899.809,745.262,148.528,1.99966,12428.9,78092.9,39046.4,505.062,653.564,8,0.899319,70.6914,1,73.6273,51.894,1.13884
./adapt_box/17302/17302_00112.swc,recons,VPM,534,3631.68,6,33,70,38,903.42,754,150,3.06816,9593.83,80857.4,124465,507.311,571.001,9,0.944912,6.61429,0.8478,53.0785,43.2421,1.40619
